fname,label,manually_verified
c0000000.wav,Car Crash,1
c0000001.wav,Car Crash,1
c0000002.wav,Car Crash,1
c0000003.wav,Car Crash,1
c0000004.wav,Car Crash,1
c0000005.wav,Car Crash,1
c0000006.wav,Car Crash,1
c0000007.wav,Car Crash,1
c0000008.wav,Car Crash,1
c0000009.wav,Car Crash,1
c0000010.wav,Car Crash,1
c0000011.wav,Car Crash,1
c0000012.wav,Car Crash,1
c0000013.wav,Car Crash,1
c0000014.wav,Car Crash,1
c0000015.wav,Car Crash,1
c0000016.wav,Car Crash,1
c0000017.wav,Car Crash,1
c0000018.wav,Car Crash,1
c0000019.wav,Car Crash,1
c0000020.wav,Car Crash,1
c0000021.wav,Car Crash,1
c0000022.wav,Car Crash,1
c0000023.wav,Car Crash,1
c0000024.wav,Car Crash,1
c0000025.wav,Car Crash,1
c0000026.wav,Car Crash,1
c0000027.wav,Car Crash,1
c0000028.wav,Car Crash,1
c0000029.wav,Car Crash,1
c0000030.wav,Car Crash,1
c0000031.wav,Car Crash,1
c0000032.wav,Car Crash,1
c0000033.wav,Car Crash,1
c0000034.wav,Car Crash,1
c0000035.wav,Car Crash,1
c0000036.wav,Car Crash,1
c0000037.wav,Car Crash,1
c0000038.wav,Car Crash,1
c0000039.wav,Car Crash,1
c0000040.wav,Car Crash,1
c0000041.wav,Car Crash,1
c0000042.wav,Car Crash,1
c0000043.wav,Car Crash,1
c0000044.wav,Car Crash,1
c0000045.wav,Car Crash,1
c0000046.wav,Car Crash,1
c0000047.wav,Car Crash,1
c0000048.wav,Car Crash,1
c0000049.wav,Car Crash,1
c0000050.wav,Car Crash,1
c0000051.wav,Car Crash,1
c0000052.wav,Car Crash,1
c0000053.wav,Car Crash,1
c0000054.wav,Car Crash,1
c0000055.wav,Car Crash,1
c0000056.wav,Car Crash,1
c0000057.wav,Car Crash,1
c0000058.wav,Car Crash,1
c0000059.wav,Car Crash,1
c0000060.wav,Car Crash,1
c0000061.wav,Car Crash,1
c0000062.wav,Car Crash,1
c0000063.wav,Car Crash,1
c0000064.wav,Car Crash,1
c0000065.wav,Car Crash,1
c0000066.wav,Car Crash,1
c0000067.wav,Car Crash,1
c0000068.wav,Car Crash,1
c0000069.wav,Car Crash,1
c0000070.wav,Car Crash,1
c0000071.wav,Car Crash,1
c0000072.wav,Car Crash,1
c0000073.wav,Car Crash,1
c0000074.wav,Car Crash,1
c0000075.wav,Car Crash,1
c0000076.wav,Car Crash,1
c0000077.wav,Car Crash,1
c0000078.wav,Car Crash,1
c0000079.wav,Car Crash,1
c0000080.wav,Car Crash,1
c0000081.wav,Car Crash,1
c0000082.wav,Car Crash,1
c0000083.wav,Car Crash,1
c0000084.wav,Car Crash,1
c0000085.wav,Car Crash,1
c0000086.wav,Car Crash,1
c0000087.wav,Car Crash,1
c0000088.wav,Car Crash,1
c0000089.wav,Car Crash,1
c0000090.wav,Car Crash,1
c0000091.wav,Car Crash,1
c0000092.wav,Car Crash,1
c0000093.wav,Car Crash,1
c0000094.wav,Car Crash,1
c0000095.wav,Car Crash,1
c0000096.wav,Car Crash,1
c0000097.wav,Car Crash,1
c0000098.wav,Car Crash,1
c0000099.wav,Car Crash,1
c0000100.wav,Car Crash,1
c0000101.wav,Car Crash,1
c0000102.wav,Car Crash,1
c0000103.wav,Car Crash,1
c0000104.wav,Car Crash,1
c0000105.wav,Car Crash,1
c0000106.wav,Car Crash,1
c0000107.wav,Car Crash,1
c0000108.wav,Car Crash,1
c0000109.wav,Car Crash,1
c0000110.wav,Car Crash,1
c0000111.wav,Car Crash,1
c0000112.wav,Car Crash,1
c0000113.wav,Car Crash,1
c0000114.wav,Car Crash,1
c0000115.wav,Car Crash,1
c0000116.wav,Car Crash,1
c0000117.wav,Car Crash,1
c0000118.wav,Car Crash,1
c0000119.wav,Car Crash,1
c0000120.wav,Car Crash,1
c0000121.wav,Car Crash,1
c0000122.wav,Car Crash,1
c0000123.wav,Car Crash,1
c0000124.wav,Car Crash,1
c0000125.wav,Car Crash,1
c0000126.wav,Car Crash,1
c0000127.wav,Car Crash,1
c0000128.wav,Car Crash,1
c0000129.wav,Car Crash,1
c0000130.wav,Car Crash,1
c0000131.wav,Car Crash,1
c0000132.wav,Car Crash,1
c0000133.wav,Car Crash,1
c0000134.wav,Car Crash,1
c0000135.wav,Car Crash,1
c0000136.wav,Car Crash,1
c0000137.wav,Car Crash,1
c0000138.wav,Car Crash,1
c0000139.wav,Car Crash,1
c0000140.wav,Car Crash,1
c0000141.wav,Car Crash,1
c0000142.wav,Car Crash,1
c0000143.wav,Car Crash,1
c0000144.wav,Car Crash,1
c0000145.wav,Car Crash,1
c0000146.wav,Car Crash,1
c0000147.wav,Car Crash,1
c0000148.wav,Car Crash,1
c0000149.wav,Car Crash,1
c0000150.wav,Car Crash,1
c0000151.wav,Car Crash,1
c0000152.wav,Car Crash,1
c0000153.wav,Car Crash,1
c0000154.wav,Car Crash,1
c0000155.wav,Car Crash,1
c0000156.wav,Car Crash,1
c0000157.wav,Car Crash,1
c0000158.wav,Car Crash,1
c0000159.wav,Car Crash,1
c0000160.wav,Car Crash,1
c0000161.wav,Car Crash,1
c0000162.wav,Car Crash,1
c0000163.wav,Car Crash,1
c0000164.wav,Car Crash,1
c0000165.wav,Car Crash,1
c0000166.wav,Car Crash,1
c0000167.wav,Car Crash,1
c0000168.wav,Car Crash,1
c0000169.wav,Car Crash,1
c0000170.wav,Car Crash,1
c0000171.wav,Car Crash,1
c0000172.wav,Car Crash,1
c0000173.wav,Car Crash,1
c0000174.wav,Car Crash,1
c0000175.wav,Car Crash,1
c0000176.wav,Car Crash,1
c0000177.wav,Car Crash,1
c0000178.wav,Car Crash,1
c0000179.wav,Car Crash,1
c0000180.wav,Car Crash,1
t0000000.wav,Tire skidding,1
t0000001.wav,Tire skidding,1
t0000002.wav,Tire skidding,1
t0000003.wav,Tire skidding,1
t0000004.wav,Tire skidding,1
t0000005.wav,Tire skidding,1
t0000006.wav,Tire skidding,1
t0000007.wav,Tire skidding,1
t0000008.wav,Tire skidding,1
t0000009.wav,Tire skidding,1
t0000010.wav,Tire skidding,1
t0000011.wav,Tire skidding,1
t0000012.wav,Tire skidding,1
t0000013.wav,Tire skidding,1
t0000014.wav,Tire skidding,1
t0000015.wav,Tire skidding,1
t0000016.wav,Tire skidding,1
t0000017.wav,Tire skidding,1
t0000018.wav,Tire skidding,1
t0000019.wav,Tire skidding,1
t0000020.wav,Tire skidding,1
t0000021.wav,Tire skidding,1
t0000022.wav,Tire skidding,1
t0000023.wav,Tire skidding,1
t0000024.wav,Tire skidding,1
t0000025.wav,Tire skidding,1
t0000026.wav,Tire skidding,1
t0000027.wav,Tire skidding,1
t0000028.wav,Tire skidding,1
t0000029.wav,Tire skidding,1
t0000030.wav,Tire skidding,1
t0000031.wav,Tire skidding,1
t0000032.wav,Tire skidding,1
t0000033.wav,Tire skidding,1
t0000034.wav,Tire skidding,1
t0000035.wav,Tire skidding,1
t0000036.wav,Tire skidding,1
t0000037.wav,Tire skidding,1
t0000038.wav,Tire skidding,1
t0000039.wav,Tire skidding,1
t0000040.wav,Tire skidding,1
t0000041.wav,Tire skidding,1
t0000042.wav,Tire skidding,1
t0000043.wav,Tire skidding,1
t0000044.wav,Tire skidding,1
t0000045.wav,Tire skidding,1
t0000046.wav,Tire skidding,1
t0000047.wav,Tire skidding,1
t0000048.wav,Tire skidding,1
t0000049.wav,Tire skidding,1
t0000050.wav,Tire skidding,1
t0000051.wav,Tire skidding,1
t0000052.wav,Tire skidding,1
t0000053.wav,Tire skidding,1
t0000054.wav,Tire skidding,1
t0000055.wav,Tire skidding,1
t0000056.wav,Tire skidding,1
t0000057.wav,Tire skidding,1
t0000058.wav,Tire skidding,1
t0000059.wav,Tire skidding,1
t0000060.wav,Tire skidding,1
t0000061.wav,Tire skidding,1
t0000062.wav,Tire skidding,1
t0000063.wav,Tire skidding,1
t0000064.wav,Tire skidding,1
t0000065.wav,Tire skidding,1
t0000066.wav,Tire skidding,1
t0000067.wav,Tire skidding,1
t0000068.wav,Tire skidding,1
t0000069.wav,Tire skidding,1
t0000070.wav,Tire skidding,1
t0000071.wav,Tire skidding,1
t0000072.wav,Tire skidding,1
t0000073.wav,Tire skidding,1
t0000074.wav,Tire skidding,1
t0000075.wav,Tire skidding,1
t0000076.wav,Tire skidding,1
t0000077.wav,Tire skidding,1
t0000078.wav,Tire skidding,1
t0000079.wav,Tire skidding,1
t0000080.wav,Tire skidding,1
t0000081.wav,Tire skidding,1
t0000082.wav,Tire skidding,1
t0000083.wav,Tire skidding,1
t0000084.wav,Tire skidding,1
t0000085.wav,Tire skidding,1
t0000086.wav,Tire skidding,1
t0000087.wav,Tire skidding,1
t0000088.wav,Tire skidding,1
t0000089.wav,Tire skidding,1
t0000090.wav,Tire skidding,1
t0000091.wav,Tire skidding,1
